FID,PRKID,PRKNAME,PRKADDR,STREETNO,STREETDIR,STREETNM,STREETTYPE,STREETSUFF,CITY,STATE,ZIP,PRKTYPE,PRKSTATUS,PRKDIST,PRKSIZE,PRKPHONE,PRKAGE,PRKADAACC,CITYCOUNCI,BOCC,PRKDATE,USERID,UPSIZE_TS,X,Y,LEASEDID
154,KING,KINGSTON NEIGHBORHOOD PARK,S TRYON ST,0, , , , ,CHARLOTTE,NC,28203,NEIGHBORHOOD PARK,UNDEVELOPED,CENTRAL,0.84345, ,0,0,District 3,District 2,1899-12-30T00:00:00.000Z,BLACKSR, ,1444332.62586,538160.815856, 
155,COUL,COULWOOD COMMUNITY PARK,100 COULWOOD PARK DR,100, ,COULWOOD PARK,DR, ,CHARLOTTE,NC,28214,COMMUNITY PARK,DEVELOPED,NORTH,24.573,7048751391,0,0,District 2,District 1,1998-07-28T00:00:00.000Z,BLACKSR, ,1421296.36195,571867.13644, 
156,HIDD,HIDDEN VALLEY NEIGHBORHOOD PARK,NORTHCHASE DR,0, , , , ,CHARLOTTE,NC,28213,NEIGHBORHOOD PARK,UNDEVELOPED,CENTRAL,18.36901, ,0,0,District 4,District 3,1899-12-30T00:00:00.000Z,BLACKSR, ,1469748.13006,555419.610833, 
157,BERE,BEREWICK CENTER,5910 DIXIE RIVER RD,5910, ,DIXIE RIVER,RD, ,CHARLOTTE,NC,28208,RECREATION CENTER,DEVELOPED,SOUTH,0, ,0,0, ,District 1,1899-12-30T00:00:00.000Z,BLACKSR, ,1408501.97587,523887.966931, 
158,COWW,COWANS FORD WILDLIFE REFUGE,NECK RD,0, ,NO ADDRESS, , ,HUNTERSVILLE,NC,28078,NATURE PRESERVE,DEVELOPED,NORTH,660.1, ,0,0, ,District 1,1998-08-04T00:00:00.000Z,BLACKSR, ,1411765.58298,596232.057612, 
159,BAIL,BAILEY RD NEIGHBORHOOD PARK,BAILEY RD,0, , , , ,CORNELIUS,NC,28031,NEIGHBORHOOD PARK,UNDEVELOPED,NORTH,10.32483, ,0,0, ,District 1,,BLACKSR, ,1453941.96101,629962.033636,HUNT
160,NMRC,NORTH MECKLENBURG RECREATION CENTER,OLD STATESVILLE RD,0, , , , ,CORNELIUS,NC,28031,RECREATION CENTER,UNDEVELOPED,NORTH,41.3987, ,0,0, ,District 1,,BLACKSR, ,1451180.12586,626764.815856, 
161,CRAP,CAROLINA RAPTOR CENTER,6000 SAMPLE RD,6000, ,SAMPLE,RD, ,HUNTERSVILLE,NC,28216,SPECIAL FACILITY,DEVELOPED,NORTH,0,7048756521,0,0, ,District 1,1998-07-28T00:00:00.000Z,BLACKSR, ,1428409.74684,588306.145609, 
162,MTLD,MOUNTAIN ISLAND NEIGHBORHOOD PARK,11840 MOUNTAIN ISLAND BROOK LN,0, , , , ,CHARLOTTE,NC,28214,NEIGHBORHOOD PARK,UNDEVELOPED,NORTH,4.64132, ,0,0, ,District 1,,BLACKSR, ,1412864.09586,587349.795856, 
163,MRND,MIRANDA NATURE PRESERVE,MIRANDA RD,0, , , , ,CHARLOTTE,NC,28216,NATURE PRESERVE,UNDEVELOPED,NORTH,62.41462, ,0,0, ,District 2,,BLACKSR, ,1438355.38131,581697.066594, 
